X,Y,Arsenic_kit,Arsenic_lab
259494.7,2630692,200,91.95759545
256338.2,2632938,200,104.8691143
256786.5,2634379,200,108.228954
262314.4,2632607,200,114.0461989
258630.1,2631359,200,120.9517732
262380.7,2632790,200,129.1337369
255699,2630765,200,131.9863787
260809.1,2632830,200,133.2729293
256819,2634275,200,138.6336409
259084.2,2631073,200,143.6792748
260724.4,2632827,200,153.003204
259641.8,2631121,200,163.6747702
260004.8,2632378,200,168.1872558
257669.9,2630475,200,176.5948229
258921.4,2631393,200,187.4548255
257428,2630762,200,189.4402427
260860.3,2631303,200,194.8835798
260518.7,2631920,200,204.3630694
256849.8,2632889,200,225.2765744
259017.7,2631112,200,226.9055285
261394.3,2630044,200,309.7012456
260834,2631252,200,347.4241139
261388,2629727,200,355.7378821
258184.4,2630382,200,412.8833848
259204.6,2631284,200,423.9233589
260655.5,2632837,200,112.37
256057.7,2632777,200,111.78
257832.4,2631997,200,30.64
257729.5,2632553,200,276.18
257657.7,2632623,200,164.87
257119.6,2631546,200,156.97
256506.8,2630079,200,86.59
256461.5,2629913,200,95.64
259180.5,2632220,200,87.9
259589.7,2631794,200,144.35
258804.3,2631985,200,257.41
258801.7,2631824,200,149
257279.8,2631678,200,154.69
258489.8,2631877,200,122.32
259345.3,2632836,200,181.16
258612.5,2632099,200,143.58
258665,2632089,200,209.25
258860.7,2631799,200,228.95
258761.6,2631559,200,182.19
259132.6,2631287,200,184.11
257545.5,2630593,200,107.17
256543.8,2629247,200,91.5
256414.6,2629345,200,61.42
256459.4,2629280,200,67.46
258193.7,2632769,200,95.05
258033.9,2633072,200,79.28
258094,2633103,200,156.57
257371.1,2632461,200,137.77
257495,2632551,200,164.23
256232.8,2633893,200,43.54
255266,2631791,200,143.95
254713.9,2631300,200,304.69
254447.7,2631240,200,269.63
254705.9,2631130,200,150.25
254576.2,2631001,200,202.48
254484.8,2631023,200,127.31
255130.1,2630388,200,144.16
255129.7,2630360,200,85.81
258837.5,2633055,200,61.27
259121.4,2632960,200,150.0650083
256489.1,2631955,200,182.0820712
253900.3,2630734,200,60.30785232
253928,2630563,200,157.8944007
253917.5,2630645,200,108.3137984
253766,2630430,200,100.3877406
253947,2629980,200,115.8340403
254026.8,2630078,200,141.1809199
254278.1,2630164,200,106.9491316
258678.5,2633001,200,195.7258164
260174.7,2633048,200,53.09782887
260064.5,2633266,200,45.40610141
259953.3,2633731,200,56.88325695
259951.2,2633912,200,62.21464135
260184.4,2633635,200,87.76462035
260178.1,2633657,200,100.8598165
259844.6,2634045,200,81.85956787
260959.8,2633050,200,130.1089059
