Well_ID,Wp_ID.x,lat,lon,As_Result,Depth.2000,X2000,Y2000,Depth_2000,Installation_2000,As_GFAA_2000,As_MS_2000,As2014,As2015,As2015
3960,192C,23.80441,90.6319,25,45,258742.2,2634582,45,1989,5,5.09,5.018,5.2,5.2
3976,179C,23.80588,90.63338,25,50,258877.5,2634744,50,1998,25,5.25,2.031,3.4,3.4
3981,169C,23.80686,90.63324,50,30,258855.6,2634857,30,1999,35,24.41,22.451,22.4,22.4
3984,164C,23.8068,90.6335,0,50,258904.7,2634845,50,1995,25,2.86,1.056,1.8,1.8
3998,342C,23.8077,90.63315,10,55,258875.4,2634927,55,1988,11,11.61,10.835,10.4,10.4
4083,1330H,23.78654938,90.60416138,300,30,255920,2632672,30,1999,171,164.7,125.248,130.6,130.6
4095,1471H,23.78391218,90.60193447,300,45,255728.2,2632391,45,1999,5,2.95,255.621,85.1,85.1
4139,1393H,23.78550441,90.60353885,100,45,255816.2,2632567,45,1988,6,0.89,84.841,46.6,46.6
4168,800H,23.78685256,90.60629432,0,30,256078.2,2632681,30,1999,5,5.74,0.15,0.2,0.2
4263,3261E,23.7802161,90.61024865,200,45,256489.1,2631955,45,1992,264,272.11,182.082,78.5,78.5
4330,2579L,23.77787914,90.60609726,100,45,256057,2631728,45,1998,54,53.33,30.651,26.1,26.1
4412,2170E,23.77349264,90.59069258,500,90,254420.6,2631248,90,1996,151,158.2,506.751,539.9,539.9
4437,1846E,23.76844414,90.58525315,200,60,253900.3,2630734,60,1980,77,89.02,60.308,79.9,79.9
4448,1898E,23.76932885,90.58592638,25,60,254017,2630702,60,1999,10,9.18,17.154,14.8,14.8
4450,1900E,23.76902215,90.58605077,300,60,254006.2,2630765,60,1997,261,260.36,285.972,281.4,281.4
4452,1903E,23.76862225,90.58598539,300,60,253978,2630703,60,1992,409,284.73,234.824,241.4,241.4
4454,1825E,23.76798548,90.5854891,200,60,253928,2630563,60,1993,223,163.82,157.894,140.6,140.6
4458,1818E,23.76750771,90.58546102,200,45,253917.5,2630645,45,1995,101,99.2,108.314,95.8,95.8
4487,1789E,23.76699264,90.5843023,100,45,253826.6,2630499,45,1996,74,62.36,63.16,56.6,56.6
4500,1769E,23.76589721,90.58389092,200,45,253766,2630430,45,2000,84,83.48,100.388,99.9,99.9
4527,1705E,23.76216223,90.58565196,200,45,253947,2629980,45,1990,145,133.28,115.834,80.3,80.3
4534,1690E,23.76297637,90.58657791,200,75,254026.8,2630078,75,1990,186,162.69,141.181,NA,
4536,1684E,23.76268384,90.58683364,500,60,254056.6,2630033,60,1992,209,192.16,218.004,85.5,85.5
4546,1657E,23.76366746,90.58896348,200,60,254278.1,2630164,60,1978,119,123.86,106.949,NA,
4592,906E,23.76497436,90.59392774,300,60,254795.4,2630294,60,1996,259,223.42,182.075,176.6,176.6
4596,739E,23.76695,90.60599,100,45,256010.6,2630486,45,1997,156,132.71,66.553,52.4,52.4
4610,2968L,23.79191296,90.6307611,10,30,258573.2,2633206,30,1999,14,12.32,12.658,14.1,14.1
4800,272H,23.79606,90.62563,0,30,258069.7,2633690,30,1998,34,30.74,0.712,NA,
4854,2916E,23.7633896,90.62648498,100,45,258102.2,2630039,45,1990,32,34.08,70.846,56.7,56.7
4863,2988E,23.76501401,90.62784118,50,45,258249.6,2630212,45,1998,42,43.65,10.649,12.2,12.2
4866,2981E,23.76453934,90.6280379,300,60,258252.1,2630162,60,1985,265,274.52,246.64,226.8,226.8
4881,498L,23.7667,90.62934,100,55,258402.4,2630409,55,1999,82,91.07,70.801,55.2,55.2
4887,3019E,23.76611866,90.62805299,10,45,258234.8,2630343,45,1994,10,13.66,5.765,7.4,7.4
4888,3015E,23.76599763,90.62760824,0,30,258205.7,2630333,30,1995,5,0.13,0.28,0.6,0.6
4891,3010E,23.76569076,90.62762065,0,45,258227,2630290,45,1998,15,3.02,2.011,2.6,2.6
4960,476L,23.76626,90.63104,100,60,258569.4,2630332,60,1998,47,65.29,54.391,51.1,51.1
7001,2936L,23.79018637,90.63129963,500,65,258629.2,2633003,65,1998,351,429.27,386.828,348.3,348.3
7010,2764L,23.78991807,90.6387804,300,55,259405.7,2632994,55,1994,204,250.52,270.786,264.3,264.3
