X,Y,Depth_m,Arsenic_lab
255855.5542,2632885.507,10,25
256037.0791,2632766.096,14,192
255939.0552,2632697.608,12,163
255966.2538,2632599.306,12,163
255974.2048,2632665.656,18,545
255878.6288,2632639.567,15,157
255982.5723,2632659.975,15,194
258392.1493,2632239.024,10,31
258365.5202,2632372.436,14,47
258145.6157,2632228.405,12,21
258267.7527,2632318.666,12,19
258327.0298,2632308.479,12,9
258174.7684,2632349.805,21,18
258159.1426,2632427.631,11,30
258141.5318,2632392.799,14,17
258125.778,2632365.361,17,26
258125.2539,2632334.012,17,24
258115.0252,2632435.792,12,23
258229.5428,2632369.167,11,8
258134.1778,2632361.564,11,6
258209.8343,2632410.162,13,10
258121.2996,2632402.445,17,9
258102.1817,2632375.063,14,34
258207.6386,2632382.498,14,17
258263.7976,2632387.099,14,28
258170.2938,2632484.731,14,15
258214.0668,2632358.345,14,12
258154.2565,2632342.724,14,15
258132.3931,2632352.397,18,9
258153.8565,2632318.796,14,24
257996.6863,2632267.794,8,24
258105.673,2632278.936,15,27
257244.1572,2632389.434,14,34
258035.6367,2632261.602,14,14
258085.3776,2632284.816,14,29
258144.129,2632243.167,17,46
258143.7901,2632222.896,17,18
258055.042,2632300.06,14,11
258029.8664,2632318.986,21,158
258020.253,2632256.319,14,39
258040.0289,2632316.932,14,31
257984.8223,2632271.76,14,67
258016.8594,2632254.603,21,50
257993.1073,2632255,18,140
257958.6257,2632229.648,8,19
258015.7433,2632291.52,14,39
257984.4813,2632251.377,14,29
258016.3647,2632225.026,14,32
258068.4807,2632189.029,12,50
257946.1783,2632095.116,13,118
258006.668,2632151.28,11,77
258098.5703,2632159.051,13,77
258086.4877,2632149.946,14,48
257969.8158,2632081.756,12,64
258026.8413,2632138.089,17,48
258059.3324,2632154.167,17,73
258032.7969,2632091.784,17,357
257973.1187,2632078.044,12,23
257998.5114,2632072.079,11,14
258016.9815,2632060.69,11,144
257982.0456,2632002.104,18,43
257959.8069,2632093.004,17,77
257941.1739,2632100.74,9,6
257952.9496,2631987.853,14,43
257950.6292,2631952.766,12,73
257932.8706,2632006.693,12,34
257948.6252,2632034.132,17,9
257848.5645,2631947.16,29,190
257832.0647,2631978.795,12,72
